STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	101	4	5	137398	140312	6	7	100	516	4201	3	72	43	398	480	3616	105	52
9999	1	4	102	4	7	53197	53197	5	5	95.6591	430	1725	1	7	22	400	403	1138	184	22
9999	1	4	103	4	9	37855	37855	4	4	100	39	643	0	1	0	38	93	513	37	14
9999	1	4	104	4	11	9808	9808	2	2	83.9672	4	134	0	0	0	4	76	40	17	0
9999	1	4	105	4	12	20137	20137	3	3	88.6589	64	562	4	2	8	50	198	314	50	0
9999	1	4	106	4	13	4248828	4249134	18	19	99.8328	18433	126482	238	2044	5131	11020	24161	89451	12870	515
9999	1	4	107	4	15	206065	201231	5	4	100	483	6262	19	71	60	333	1571	4249	442	49
9999	1	4	108	4	17	108624	108624	6	6	100	270	2070	8	18	9	235	382	1581	107	21
9999	1	4	109	4	19	1017936	1017936	9	9	99.4374	5056	43233	49	582	1433	2993	6079	34458	2696	196
9999	1	4	110	4	21	413481	410205	11	10	99.8173	884	6215	10	84	85	705	1444	4280	490	53
9999	1	4	111	4	23	46373	46373	3	3	95.4456	69	718	0	2	3	64	160	402	156	0
9999	1	4	112	4	25	227945	225038	10	11	100	650	4280	6	49	49	546	843	3199	238	25
9999	1	4	113	4	27	206201	206201	6	5	100	599	3821	9	67	69	454	965	2452	404	36
9999	1	4	114	4	777	0	0	23	23	100	4463	3106	39	261	77	4086	663	1999	445	117
9999	1	4	115	5	1	18305	18305	4	4	99.8998	89	694	2	17	11	59	213	438	43	5
9999	1	4	116	5	3	20629	20629	3	3	100	65	508	1	8	7	49	162	325	21	4
9999	1	4	117	5	5	40925	40925	6	6	99.8528	92	1287	0	37	1	54	152	1070	65	2
9999	1	4	118	5	7	248057	248057	17	16	100	774	4964	4	218	37	515	979	3750	235	13
9999	1	4	119	5	9	37259	37259	3	3	99.8253	257	833	2	53	7	195	190	565	77	4
9999	1	4	120	5	11	11008	11008	2	2	100	34	173	2	5	5	22	114	52	7	0
9999	1	4	121	5	13	5204	5204	2	2	100	13	67	0	2	1	10	25	38	4	1
9999	1	4	122	5	15	27714	27714	4	4	100	100	446	3	31	3	63	113	303	30	2
9999	1	4	123	5	17	10872	10872	4	4	100	37	287	0	2	5	30	131	149	7	0
9999	1	4	124	5	19	22553	22553	6	6	100	90	639	1	7	8	74	127	496	16	3
9999	1	4	125	5	21	14916	14916	3	3	100	33	171	1	10	1	21	41	121	9	1
9999	1	4	126	5	23	25195	25342	4	5	100	117	613	4	33	0	80	156	413	44	3
9999	1	4	127	5	25	8232	8232	2	2	100	13	103	0	2	1	10	42	58	3	2
9999	1	4	128	5	27	23971	23971	3	3	100	82	437	2	7	10	63	232	193	12	11
9999	1	4	129	5	29	20958	20958	4	4	100	41	706	0	18	1	22	90	570	46	7
9999	1	4	130	5	31	105868	105868	9	9	100	459	4043	6	64	73	316	1681	2204	158	18
9999	1	4	131	5	33	61600	61600	5	5	100	290	1714	3	54	10	223	451	1141	122	3
9999	1	4	132	5	35	48538	48538	4	4	100	718	2092	23	81	123	491	594	1365	133	20
9999	1	4	133	5	37	17164	17164	3	3	100	95	478	1	8	4	82	129	318	31	12
9999	1	4	134	5	39	7509	7509	2	2	100	47	188	0	7	7	33	65	120	3	1
9999	1	4	135	5	41	11766	8119	4	2	100	65	258	0	7	4	54	83	167	8	1
9999	1	4	136	5	43	18788	18788	3	3	100	63	480	4	10	7	42	119	333	28	3
9999	1	4	137	5	45	122846	123015	7	9	100	482	4298	6	81	89	306	682	3259	357	13
9999	1	4	138	5	47	17604	17604	4	4	100	87	453	0	19	0	68	162	263	28	6
9999	1	4	139	5	49	11242	12192	3	6	100	21	124	0	6	0	15	17	99	8	0
9999	1	4	140	5	51	97312	97312	2	2	100	636	4621	4	74	82	476	1891	2362	368	13
9999	1	4	141	5	53	18131	18131	2	2	100	62	430	0	8	2	52	93	312	25	0
9999	1	4	142	5	55	44575	44575	3	3	100	191	1618	0	60	18	113	333	1179	106	6
9999	1	4	143	5	57	21965	21965	2	2	100	152	702	3	12	11	126	164	492	46	8
9999	1	4	144	5	59	33460	33460	2	2	100	77	634	1	9	5	62	200	380	54	0
9999	1	4	145	5	61	13193	13193	4	4	100	27	220	0	4	1	22	58	159	3	0
9999	1	4	146	5	63	36910	36910	2	2	100	183	787	2	27	2	152	200	521	66	22
9999	1	4	147	5	65	13388	13388	1	1	100	34	247	0	12	0	22	70	158	19	7
9999	1	4	148	5	67	17186	17186	6	6	100	108	686	1	21	13	73	196	441	49	8
9999	1	4	149	5	69	70411	70411	5	5	100	802	3344	10	54	138	600	1254	1798	292	70
9999	1	4	150	5	71	26240	26240	3	3	100	70	650	2	23	7	38	181	439	30	3
9999	1	4	151	5	73	6870	6870	3	3	94.9248	9	70	1	1	1	6	20	45	4	1
9999	1	4	152	5	75	16625	16625	5	5	100	40	208	0	8	2	30	58	137	13	3
9999	1	4	153	5	77	9504	9504	2	2	100	34	224	0	1	4	29	67	135	22	5
9999	1	4	154	5	79	13760	13760	2	2	100	25	153	0	4	0	21	47	91	15	0
9999	1	4	155	5	81	12333	12333	2	2	100	18	218	0	4	1	13	65	141	12	0
9999	1	4	156	5	83	21579	21579	3	3	100	82	599	2	14	2	64	184	379	36	4
9999	1	4	157	5	85	72191	72191	7	7	100	266	1458	3	61	23	179	311	991	156	5
9999	1	4	158	5	87	15770	15770	1	1	100	22	75	0	4	1	17	35	34	6	2
9999	1	4	159	5	89	16079	16079	3	3	100	56	388	0	11	1	44	103	269	16	9
9999	1	4	160	5	91	43948	43948	2	2	100	209	2012	6	31	35	137	458	1412	142	0
9999	1	4	161	5	93	43193	43193	9	9	99.7322	429	1770	13	39	87	290	699	996	75	7
9999	1	4	162	5	95	7256	7256	3	3	100	35	197	0	2	1	32	44	137	16	2
9999	1	4	163	5	97	8822	8862	1	2	33.6342	12	57	0	9	0	3	27	27	3	0
9999	1	4	164	5	99	8470	0	2	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	165	5	101	7827	7827	2	2	94.3018	29	110	1	3	0	24	40	62	7	3
9999	1	4	166	5	103	24009	24009	4	4	100	152	523	1	11	14	126	169	325	29	0
9999	1	4	167	5	105	10129	10129	2	2	100	53	219	0	2	2	49	53	165	1	2
9999	1	4	168	5	107	19094	11920	3	2	100	132	530	0	17	19	96	201	298	31	9
9999	1	4	169	5	109	10769	10729	3	3	100	11	109	0	2	1	8	46	58	5	0
9999	1	4	170	5	111	23925	23925	7	7	94.3824	87	629	1	28	7	51	164	435	30	6
9999	1	4	171	5	113	20111	20111	2	2	100	63	315	0	20	0	43	65	243	7	4
9999	1	4	172	5	115	63600	63600	6	6	100	298	1986	3	37	22	236	435	1366	185	11
9999	1	4	173	5	117	8203	8203	4	4	99.4098	9	82	0	1	1	7	32	43	7	1
9999	1	4	174	5	119	396802	394191	12	12	100	4373	21744	63	246	860	3204	3910	15849	1985	87
9999	1	4	175	5	121	17357	17357	2	2	100	56	468	0	24	2	30	75	376	17	1
9999	1	4	176	5	123	26262	26262	4	4	99.1166	204	1179	1	19	39	145	278	764	137	1
9999	1	4	177	5	125	116818	119429	4	5	100	383	3387	2	53	33	295	626	2480	281	11
9999	1	4	178	5	127	9979	9979	2	2	100	30	204	0	5	2	23	66	117	21	7
9999	1	4	179	5	129	7802	7802	1	1	100	11	56	0	3	0	8	21	32	3	0
9999	1	4	180	5	131	128465	127377	6	5	100	823	5734	4	99	100	620	1031	4343	360	18
9999	1	4	181	5	133	17306	17306	2	2	100	51	254	4	7	1	39	88	160	6	5
9999	1	4	182	5	135	17939	6505	6	4	100	13	131	0	5	0	8	38	88	5	1
9999	1	4	183	5	137	12459	12459	2	2	100	41	187	0	11	0	30	70	110	7	7
9999	1	4	184	5	139	39837	39837	2	2	100	243	1335	5	12	36	190	631	632	72	5
9999	1	4	185	5	141	16969	16653	4	4	100	45	322	1	5	0	39	45	238	39	2
9999	1	4	186	5	143	236972	157684	11	10	100	760	5000	6	106	67	581	813	3723	464	16
9999	1	4	187	5	145	79470	55018	12	11	100	232	1406	2	67	4	159	345	912	149	9
9999	1	4	188	5	147	6641	6641	3	3	100	9	93	0	1	1	7	26	58	9	2
9999	1	4	189	5	149	21609	21609	5	5	100	73	364	3	12	8	50	120	206	38	5
9999	1	4	190	6	1	1652981	1652981	26	22	100	10127	59744	116	628	5112	4271	7993	37829	13922	371
9999	1	4	191	6	3	1094	1094	2	2	100	6	34	0	0	0	6	7	26	1	0
9999	1	4	192	6	5	36579	36579	6	6	100	92	669	0	8	13	71	212	396	61	4
9999	1	4	193	6	7	224973	224973	13	10	100	790	7307	4	133	138	515	1755	4531	1021	213
9999	1	4	194	6	9	44398	44398	5	5	100	178	656	3	28	16	131	191	368	97	0
9999	1	4	195	6	11	21343	21343	6	5	100	46	357	0	5	8	33	121	210	26	0
9999	1	4	196	6	13	1134344	1134344	30	26	100	3895	28939	53	309	1501	2032	4417	17888	6634	199
9999	1	4	197	6	15	26816	26816	3	3	100	168	608	0	32	17	119	290	188	130	7
9999	1	4	198	6	17	183862	183862	7	5	100	389	3042	2	71	69	247	680	2157	205	8
9999	1	4	199	6	19	976874	976874	24	21	100	5981	31784	63	314	1413	4191	6883	19716	5185	474
9999	1	4	200	6	21	27808	27808	5	5	100	103	559	1	7	11	84	122	367	70	9
9999	1	4	201	6	23	134943	134943	11	10	100	682	4001	12	62	167	441	1004	2293	704	36
9999	1	4	202	6	25	180066	172682	12	9	100	676	5195	3	34	118	521	1165	3483	547	58
9999	1	4	203	6	27	18086	18086	4	4	100	114	334	1	8	10	95	98	203	33	1
9999	1	4	204	6	29	884443	884443	18	15	100	5128	32570	88	307	1166	3567	8351	17742	6477	695
9999	1	4	205	6	31	149661	149661	10	8	100	639	3167	11	72	80	476	699	1931	537	21
9999	1	4	206	6	33	64121	64121	5	4	100	379	1746	3	39	66	271	627	779	340	21
9999	1	4	207	6	35	30483	30483	6	4	100	225	513	1	13	13	198	155	315	43	4
9999	1	4	208	6	37	10170868	10170868	108	101	99.8918	56372	252505	622	4159	20152	31439	46979	158015	47512	2364
9999	1	4	209	6	39	154726	154726	6	5	100	1024	3705	7	51	124	842	978	2155	572	17
9999	1	4	210	6	41	261129	261129	15	14	100	475	4975	3	52	168	252	991	3444	540	23
9999	1	4	211	6	43	17271	17271	2	2	100	80	241	0	12	1	67	53	166	22	0
9999	1	4	212	6	45	87021	87021	8	7	100	606	1444	8	64	56	478	419	826	199	8
9999	1	4	213	6	47	268999	268999	13	11	100	1488	7658	6	79	238	1165	1830	4395	1433	117
9999	1	4	214	6	49	8766	8766	4	4	100	41	163	1	8	1	31	43	109	11	0
9999	1	4	215	6	51	13749	13749	4	3	100	37	162	2	7	4	24	39	111	12	0
9999	1	4	216	6	53	434506	434506	19	18	100	1822	10396	56	162	506	1098	1666	6212	2518	42
9999	1	4	217	6	55	142635	142635	10	9	100	598	2524	1	62	72	463	655	1647	222	11
9999	1	4	218	6	57	98225	98225	7	6	100	212	1806	6	8	15	183	468	1120	218	13
9999	1	4	219	6	59	3179276	3179276	46	42	100	7275	66054	57	810	2136	4272	11025	46507	8522	269
9999	1	4	220	6	61	378046	378046	9	8	100	622	7080	3	83	156	380	1258	5180	642	33
9999	1	4	221	6	63	17999	17999	4	3	100	120	359	2	10	6	102	120	219	20	1
9999	1	4	222	6	65	2377824	2377824	42	35	100	7447	65333	99	500	2276	4572	12764	40959	11610	209
